"year","unregulated","BiOp","lowApril","Recess","LowRecess","BiOpTrib","LowSummer","NMFS1","Corps1","Corps2","OSU1"
1929,3409,7211,7217,7215,7384,6133,6671,7211,7721,7730,7211
1930,2794,6314,6587,6053,6497,5779,6265,6207,5395,6908,6207
1931,2630,6604,6815,6650,6745,5718,6428,6660,6050,6141,6660
1932,3906,7498,7553,7498,7552,6932,7040,7502,8028,8058,7502
1933,5456,8552,8704,8551,9012,8626,8872,8557,9437,9445,8557
1934,2817,5294,5291,5311,5294,5481,5289,5294,5275,6185,5294
1935,3425,7300,7412,7312,7607,6398,6909,7298,7568,7624,7298
1936,3783,7284,7278,7284,7318,6681,6854,7284,7666,7684,7284
1937,4438,7957,7990,7957,7991,7829,7829,7987,8823,8825,7987
1938,3519,6994,7177,7099,7117,5976,6262,7032,7270,7298,7032
1939,3182,6788,6903,6737,6787,6035,6546,6783,7222,7238,6783
1940,2737,6304,6449,6585,6509,5370,6304,6304,6055,6375,6304
1941,4153,6016,5935,5983,5880,5669,6016,5878,5559,6425,5878
1942,3423,6845,6876,6860,6856,6885,6654,6844,6507,7099,6844
1943,5164,7993,8001,7993,8017,7990,8123,7993,8944,8944,7993
1944,3230,6425,6435,6368,6404,5974,6322,6381,5583,6395,6381
1945,3515,7066,7076,7073,7095,6152,6612,7068,7379,7400,7068
1946,3999,7403,7386,7451,7824,6750,6764,7360,7778,7791,7360
1947,4997,7560,7618,7573,7622,7478,7261,7565,8215,8221,7565
1948,4861,7412,7423,7412,7439,7124,7198,7443,8164,8164,7443
1949,4176,7103,7123,7114,7360,6447,6604,7103,7676,7688,7103
1950,4719,7798,7968,7799,7854,7813,7904,7830,8792,8792,7830
1951,3517,7109,7126,7091,7078,6089,6567,7100,7229,7290,7100
1952,4484,7624,7915,7617,7649,7379,7491,7615,8211,8185,7615
1953,5278,8065,8105,8016,8145,8017,8133,8021,9012,9012,8021
1954,5333,7756,7772,7730,7736,7441,7442,7764,8471,8471,7764
1955,4870,8100,8179,8100,8346,7786,7885,8089,8665,8669,8089
1956,4671,7694,7779,7691,7804,7751,7794,7749,8649,8657,7749
1957,3893,7411,7414,7404,7425,6296,6493,7356,7771,7813,7356
1958,4134,7267,7293,7254,7307,6388,6877,7239,7465,7465,7239
1959,4053,7091,7051,6990,7113,5829,6673,7072,7192,7323,7072
1960,3999,7138,7221,7136,7148,6254,6487,7135,7587,7706,7135
1961,3753,6853,7122,6822,7254,6105,6125,6856,7154,7257,6856
1962,4341,7326,7363,7327,7460,6656,6798,7326,7848,7886,7326
1963,4451,6906,7380,7026,7396,6591,6483,6916,7515,7554,6916
1964,4381,7367,8199,7202,7950,7066,7050,7538,8234,8234,7538
1965,3748,6525,6491,6392,6512,5900,5982,6519,6300,6461,6519
1966,3169,6655,6621,6688,6674,5491,6487,6600,7111,7176,6600
1967,2466,5849,5875,5798,5848,4970,5609,5788,5312,6800,5788
1968,4743,6662,7072,6578,6635,6349,6562,6600,6750,6732,6600
1969,4661,7356,8009,7356,8032,6773,6831,7356,7950,8013,7356
1970,3116,6628,6691,6654,6631,5207,6307,6637,7139,7156,6637
1971,5500,8452,8553,8452,8452,8266,8269,8452,8951,8955,8452
1972,4687,6910,7272,6945,7446,6485,6632,6985,8052,8065,6985
1973,3105,5332,5811,5663,5931,5100,5257,5796,5460,6232,5796
1974,4497,8146,8453,8144,8336,8190,8376,8251,9059,9014,8251
1975,5028,7586,7936,7528,8199,7095,7164,7584,8344,8355,7584
1976,5196,7526,7505,7435,7533,7139,6994,7557,8535,8536,7557
1977,3282,6051,6143,6034,6079,5407,5971,6028,5109,6824,6028
1978,5498,6655,6670,6672,6667,6611,6644,6668,6518,7064,6668
1979,3476,7022,7019,6910,6887,5743,6326,7132,7592,7592,7132
1980,3119,6574,6578,6399,6572,5694,6462,6575,6369,6813,6575
1981,3333,6798,6781,6747,7087,6193,6621,6800,6770,6824,6800
1982,4758,7417,7376,7388,7391,6425,6840,7364,7772,7772,7364
1983,6415,10976,10953,9690,9720,10991,10922,11004,11227,10941,11004
1984,5036,7635,7730,7635,7785,7635,7635,7696,8424,8391,7696
1985,4544,7235,7312,7249,7239,6159,6926,7273,7592,7607,7273
1986,3649,7091,7076,6894,7074,6090,6875,7040,7358,7300,7040
1987,3411,6130,6004,6080,6010,5515,5699,5834,6051,6591,5834
1988,3195,7109,7464,7111,7338,5761,6485,7111,7061,7114,7111
1989,4051,6848,6986,6838,6949,6017,6268,6864,7404,7414,6864
1990,3500,6976,7060,7017,7155,5448,6386,6961,6913,6948,6961
1991,3242,6778,6748,6859,7056,5945,6015,6781,7079,7140,6781
1992,2296,4858,4859,4858,4860,4814,4858,4856,4438,5263,4856
1993,5050,7910,8105,7910,7967,7858,7960,7939,8470,8471,7939
1994,2046,5278,5326,5569,5408,4338,5278,5380,4929,5622,5380
1995,3446,6906,6920,6938,7484,5656,6294,6885,6851,6862,6885
1996,4333,7052,7186,7044,7147,6572,6638,7053,7537,7632,7053
1997,6356,8556,8547,8556,8557,8164,8224,8557,9424,9424,8557
1998,3927,7097,7323,7080,7439,6185,6609,7104,7184,7214,7104
1999,5187,7812,8206,7807,8095,7772,7862,7811,8358,8358,7811
2000,4023,7182,7368,7181,7169,6487,6816,7182,7511,7575,7182
2001,3044,6575,6488,6317,6595,5414,6395,6344,5313,6547,6344
2002,2881,6944,6930,6915,6909,5387,6526,6976,6711,7274,6976
2003,2842,7067,6957,6954,7082,5213,6676,7054,6816,6923,7054
2004,4756,7208,7208,7225,7234,6623,7069,7200,7179,7193,7200
2005,3077,6894,6840,6950,6916,5952,6839,6921,6847,6954,6921
2006,3116,7053,6972,7027,7178,5854,6592,7091,7039,7118,7091
2007,2969,6632,6702,6653,6646,5228,6202,6621,7350,7312,6621
