"life_stage","variable","begin","end","lag","WAIC","d_WAIC","wt_WAIC","linr_lo","linr_med","linr_up"
"prespawn","Max","11-01","03-31",-1,290.6,5.2,0.027,-0.12,0.23,0.61
"prespawn","Median","11-01","03-31",-1,289.4,4.1,0.046,-0.07,0.25,0.59
"prespawn","Min","04-01","06-30",0,294.1,8.8,0.004,-0.31,0.16,0.63
"prespawn","Median","04-01","06-30",0,296.6,11.3,0.001,-0.4,0.13,0.63
"prespawn","Max","04-01","06-30",0,292.1,6.8,0.012,-0.37,0.05,0.54
"prespawn","Range","04-01","06-30",0,291.3,6,0.018,-0.37,0.02,0.5
"prespawn","Min","04-01","04-30",0,292.2,6.9,0.011,-0.33,0.06,0.5
"prespawn","Min","05-01","05-31",0,292.9,7.6,0.008,-0.46,0.02,0.45
"prespawn","Max","05-01","05-31",0,292.2,6.9,0.011,-0.47,-0.01,0.43
"prespawn","Min","07-01","09-30",0,296.1,10.8,0.002,-0.02,0.35,0.75
"prespawn","Median","07-01","09-30",0,300,14.7,0,-0.12,0.29,0.73
"incubation","Max","11-01","03-31",0,291.8,6.5,0.014,-0.29,0.07,0.45
"incubation","Median","11-01","03-31",0,292.5,7.2,0.01,-0.29,0.06,0.44
"1+ outmigrants","Min","04-01","06-30",1,296,10.7,0.002,-0.19,0.19,0.53
"1+ outmigrants","Median","04-01","06-30",1,293.3,8,0.007,-0.23,0.19,0.63
"1+ outmigrants","Max","04-01","06-30",1,290.9,5.6,0.022,-0.28,0.09,0.45
"1+ outmigrants","Range","04-01","06-30",1,291.1,5.8,0.02,-0.3,0.06,0.43
"1+ outmigrants","Min","04-01","04-30",1,291.5,6.2,0.016,-0.28,0.08,0.45
"1+ outmigrants","Max","05-01","05-31",1,292.6,7.2,0.01,-0.23,0.18,0.61
"1+ outmigrants","Min","05-01","05-31",1,297,11.7,0.001,-0.16,0.2,0.55
"rearing","Min","07-01","09-30",1,290.6,5.3,0.025,-0.35,0.03,0.45
"rearing","Median","07-01","09-30",1,292,6.6,0.013,-0.4,-0.01,0.42
"rearing","Max","07-01","09-30",1,295.2,9.9,0.003,-0.19,0.19,0.61
"rearing","Range","07-01","09-30",1,296,10.6,0.002,-0.17,0.22,0.63
"2+ outmigrants","Max","02-01","04-30",2,286.3,1,0.217,-0.51,-0.18,0.18
"2+ outmigrants","Median","02-01","04-30",2,291.5,6.2,0.016,-0.4,-0.01,0.43
"2+ outmigrants","Min","02-01","04-30",2,291.7,6.4,0.015,-0.36,-0.01,0.45
"2+ outmigrants","Range","02-01","04-30",2,285.3,0,0.357,-0.54,-0.2,0.16
"2+ outmigrants","Max","04-01","04-30",2,290.1,4.8,0.032,-0.53,-0.19,0.19
"2+ outmigrants","Median","04-01","04-30",2,292.1,6.7,0.013,-0.62,-0.23,0.13
"2+ outmigrants","Min","04-01","04-30",2,291.2,5.9,0.019,-0.61,-0.25,0.11
"2+ outmigrants","Range","04-01","04-30",2,289.3,4,0.048,-0.43,-0.1,0.26
