"life_stage","variable","begin","end","lag","WAIC","d_WAIC","wt_WAIC","linr_lo","linr_med","linr_up","quad_lo","quad_med","quad_up"
"prespawn","Max","11-01","03-31",-1,288.6,6.3,0.015,-0.2,0.21,0.66,-0.3,0.02,0.34
"prespawn","Median","11-01","03-31",-1,285.4,3.1,0.076,-0.03,0.27,0.62,-0.1,0.13,0.38
"prespawn","Min","04-01","06-30",0,292.5,10.2,0.002,-0.45,0.13,0.75,-0.67,-0.09,0.52
"prespawn","Median","04-01","06-30",0,293.3,11.1,0.001,-0.73,-0.11,0.53,-0.32,0.21,0.75
"prespawn","Max","04-01","06-30",0,288.7,6.4,0.015,-0.56,-0.03,0.6,-0.27,0.11,0.53
"prespawn","Range","04-01","06-30",0,292.7,10.4,0.002,-0.66,-0.08,0.61,-0.27,0.13,0.59
"prespawn","Min","04-01","04-30",0,298.8,16.5,0,-0.36,0.58,1.51,-0.85,-0.23,0.52
"prespawn","Min","05-01","05-31",0,291.1,8.9,0.004,-0.58,0.19,0.99,-0.75,-0.2,0.31
"prespawn","Max","05-01","05-31",0,285.3,3,0.079,-0.51,-0.08,0.43,-0.69,-0.2,0.31
"prespawn","Min","07-01","09-30",0,301.9,19.6,0,0.01,0.39,0.78,-0.08,0.2,0.62
"prespawn","Median","07-01","09-30",0,300.2,17.9,0,-0.28,0.17,0.63,-0.22,0.11,0.49
"incubation","Max","11-01","03-31",0,291.1,8.8,0.004,-0.29,0.08,0.46,-0.14,0.11,0.36
"incubation","Median","11-01","03-31",0,291,8.7,0.005,-0.46,0,0.48,-0.43,-0.08,0.34
"1+ outmigrants","Min","04-01","06-30",1,291.8,9.5,0.003,-0.47,0.08,0.56,-0.37,0.12,0.58
"1+ outmigrants","Median","04-01","06-30",1,289.5,7.2,0.01,-0.58,0.22,0.78,-0.63,-0.12,0.5
"1+ outmigrants","Max","04-01","06-30",1,291.3,9,0.004,-0.77,-0.2,0.5,-0.21,0.15,0.5
"1+ outmigrants","Range","04-01","06-30",1,291.8,9.5,0.003,-0.82,-0.25,0.42,-0.2,0.17,0.54
"1+ outmigrants","Min","04-01","04-30",1,289.5,7.2,0.01,-1.57,-0.51,0.47,-0.25,0.47,1.29
"1+ outmigrants","Max","05-01","05-31",1,289.4,7.1,0.01,-0.43,0.04,0.56,-0.38,0.14,0.65
"1+ outmigrants","Min","05-01","05-31",1,292,9.8,0.003,-0.75,-0.06,0.69,-0.27,0.12,0.52
"rearing","Min","07-01","09-30",1,291.2,8.9,0.004,-0.37,0.05,0.57,-0.2,0.1,0.38
"rearing","Median","07-01","09-30",1,286.5,4.2,0.044,-0.45,-0.05,0.43,-0.33,-0.02,0.28
"rearing","Max","07-01","09-30",1,293.9,11.6,0.001,-0.3,0.11,0.58,-0.2,0.23,0.65
"rearing","Range","07-01","09-30",1,294.4,12.1,0.001,-0.38,0.13,0.71,-0.28,0.15,0.59
"2+ outmigrants","Max","02-01","04-30",2,300.5,18.2,0,-0.74,-0.39,-0.03,-0.01,0.31,0.66
"2+ outmigrants","Median","02-01","04-30",2,289.3,7,0.011,-0.76,-0.2,0.35,-0.39,0.04,0.62
"2+ outmigrants","Min","02-01","04-30",2,292.2,9.9,0.003,-0.56,-0.16,0.28,-0.3,-0.01,0.36
"2+ outmigrants","Range","02-01","04-30",2,300.9,18.6,0,-0.75,-0.42,-0.07,0.05,0.36,0.73
"2+ outmigrants","Max","04-01","04-30",2,285.8,3.5,0.062,-1.15,-0.49,0.16,-0.15,0.14,0.41
"2+ outmigrants","Median","04-01","04-30",2,282.3,0,0.356,-1.11,-0.52,0.08,-0.26,0.18,0.61
"2+ outmigrants","Min","04-01","04-30",2,283.2,0.9,0.227,-1.76,-1.04,-0.39,0.09,0.52,0.98
"2+ outmigrants","Range","04-01","04-30",2,286.4,4.1,0.046,-0.95,-0.21,0.58,-0.33,0.04,0.39
