"life_stage","variable","begin","end","lag","WAIC","d_WAIC","wt_WAIC","linr_lo","linr_med","linr_up"
"prespawn","Max","11-01","03-31",-1,287.9,4.1,0.024,-0.14,0.21,0.58
"prespawn","Median","11-01","03-31",-1,288.8,4.9,0.016,-0.04,0.28,0.59
"prespawn","Min","04-01","06-30",0,292.9,9.1,0.002,-0.38,0.08,0.57
"prespawn","Median","04-01","06-30",0,293.4,9.6,0.002,-0.46,0.04,0.55
"prespawn","Max","04-01","06-30",0,291.2,7.4,0.005,-0.34,0.06,0.53
"prespawn","Range","04-01","06-30",0,291.4,7.6,0.004,-0.33,0.05,0.52
"prespawn","Min","04-01","04-30",0,302.5,18.7,0,-0.14,0.35,0.94
"prespawn","Min","05-01","05-31",0,288,4.2,0.023,-0.45,-0.04,0.41
"prespawn","Max","05-01","05-31",0,284.4,0.6,0.14,-0.53,-0.13,0.36
"prespawn","Min","07-01","09-30",0,292.7,8.9,0.002,-0.06,0.28,0.67
"prespawn","Median","07-01","09-30",0,294.7,10.9,0.001,-0.21,0.2,0.63
"incubation","Max","11-01","03-31",0,290.6,6.8,0.006,-0.32,0.05,0.42
"incubation","Median","11-01","03-31",0,289,5.2,0.014,-0.29,0.07,0.43
"1+ outmigrants","Min","04-01","06-30",1,294,10.2,0.001,-0.24,0.15,0.51
"1+ outmigrants","Median","04-01","06-30",1,289,5.2,0.014,-0.31,0.09,0.59
"1+ outmigrants","Max","04-01","06-30",1,289.1,5.3,0.013,-0.34,0.01,0.4
"1+ outmigrants","Range","04-01","06-30",1,289.3,5.5,0.012,-0.34,0,0.35
"1+ outmigrants","Min","04-01","04-30",1,288.2,4.3,0.022,-0.29,0.09,0.48
"1+ outmigrants","Max","05-01","05-31",1,289,5.1,0.015,-0.31,0.12,0.58
"1+ outmigrants","Min","05-01","05-31",1,290.5,6.7,0.007,-0.3,0.15,0.52
"rearing","Min","07-01","09-30",1,290.5,6.7,0.007,-0.34,0.02,0.42
"rearing","Median","07-01","09-30",1,288.2,4.4,0.021,-0.39,-0.06,0.4
"rearing","Max","07-01","09-30",1,297.7,13.9,0,-0.2,0.23,0.66
"rearing","Range","07-01","09-30",1,298.6,14.8,0,-0.19,0.26,0.65
"2+ outmigrants","Max","02-01","04-30",2,286.7,2.9,0.044,-0.51,-0.22,0.11
"2+ outmigrants","Median","02-01","04-30",2,287.3,3.5,0.033,-0.55,-0.17,0.26
"2+ outmigrants","Min","02-01","04-30",2,290.6,6.8,0.006,-0.5,-0.17,0.24
"2+ outmigrants","Range","02-01","04-30",2,283.8,0,0.189,-0.54,-0.23,0.12
"2+ outmigrants","Max","04-01","04-30",2,286.4,2.6,0.051,-0.56,-0.22,0.09
"2+ outmigrants","Median","04-01","04-30",2,284.2,0.4,0.154,-0.64,-0.29,0.02
"2+ outmigrants","Min","04-01","04-30",2,284.9,1.1,0.109,-0.63,-0.31,-0.02
"2+ outmigrants","Range","04-01","04-30",2,286,2.2,0.063,-0.45,-0.15,0.19
