model,life_stage,variable,begin,end,lag,WAIC,d_WAIC,wt_numer,wt_WAIC,linr_lo,linr_med,linr_up,quad_lo,quad_med,quad_up
Ricker,2+ outmigrants,Median,1-Apr,30-Apr,2,282.3,0,1.00,0.323,-1.11,-0.52,0.08,-0.26,0.18,0.61
Ricker,2+ outmigrants,Min,1-Apr,30-Apr,2,283.2,0.9,0.64,0.206,-1.76,-1.04,-0.39,0.09,0.52,0.98
Ricker,prespawn,Max,1-May,31-May,0,285.3,3,0.22,0.072,-0.51,-0.08,0.43,-0.69,-0.2,0.31
Ricker,prespawn,Median,1-Nov,31-Mar,-1,285.4,3.1,0.21,0.069,-0.03,0.27,0.62,-0.1,0.13,0.38
Ricker,2+ outmigrants,Max,1-Apr,30-Apr,2,285.8,3.5,0.17,0.056,-1.15,-0.49,0.16,-0.15,0.14,0.41
Ricker,2+ outmigrants,Range,1-Apr,30-Apr,2,286.4,4.1,0.13,0.042,-0.95,-0.21,0.58,-0.33,0.04,0.39
Ricker,rearing,Median,1-Jul,30-Sep,1,286.5,4.2,0.12,0.040,-0.45,-0.05,0.43,-0.33,-0.02,0.28
Ricker,prespawn,Max,1-Nov,31-Mar,-1,288.6,6.3,0.04,0.014,-0.2,0.21,0.66,-0.3,0.02,0.34
B-H,prespawn,Max,1-Nov,31-Mar,-1,288.6,6.3,0.04,0.014,-0.17,0.26,0.68,-0.24,0.08,0.36
Ricker,prespawn,Max,1-Apr,30-Jun,0,288.7,6.4,0.04,0.013,-0.56,-0.03,0.6,-0.27,0.11,0.53
Ricker,2+ outmigrants,Median,1-Feb,30-Apr,2,289.3,7,0.03,0.010,-0.76,-0.2,0.35,-0.39,0.04,0.62
Ricker,1+ outmigrants,Max,1-May,31-May,1,289.4,7.1,0.03,0.009,-0.43,0.04,0.56,-0.38,0.14,0.65
B-H,2+ outmigrants,Median,1-Feb,30-Apr,2,289.4,7.1,0.03,0.009,-0.39,0.05,0.51,-0.48,-0.12,0.28
Ricker,1+ outmigrants,Median,1-Apr,30-Jun,1,289.5,7.2,0.03,0.009,-0.58,0.22,0.78,-0.63,-0.12,0.5
Ricker,1+ outmigrants,Min,1-Apr,30-Apr,1,289.5,7.2,0.03,0.009,-1.57,-0.51,0.47,-0.25,0.47,1.29
B-H,incubation,Max,1-Nov,31-Mar,0,289.7,7.4,0.02,0.008,-0.24,0.1,0.49,-0.11,0.14,0.38
B-H,incubation,Median,1-Nov,31-Mar,0,290,7.7,0.02,0.007,-0.49,0.03,0.54,-0.39,-0.02,0.4
B-H,2+ outmigrants,Median,1-Apr,30-Apr,2,290,7.7,0.02,0.007,-1.06,-0.39,0.32,-0.35,0.14,0.65
B-H,2+ outmigrants,Range,1-Apr,30-Apr,2,290.3,8,0.02,0.006,-0.8,-0.09,0.66,-0.37,-0.01,0.32
B-H,prespawn,Range,1-Apr,30-Jun,0,290.7,8.4,0.01,0.005,-0.7,-0.14,0.48,-0.19,0.18,0.6
B-H,prespawn,Median,1-Nov,31-Mar,-1,290.8,8.5,0.01,0.005,-0.06,0.25,0.63,-0.08,0.14,0.41
Ricker,incubation,Median,1-Nov,31-Mar,0,291,8.7,0.01,0.004,-0.46,0,0.48,-0.43,-0.08,0.34
B-H,2+ outmigrants,Max,1-Apr,30-Apr,2,291,8.7,0.01,0.004,-1.07,-0.35,0.41,-0.24,0.08,0.39
B-H,1+ outmigrants,Min,1-Apr,30-Apr,1,291,8.7,0.01,0.004,-0.9,-0.02,0.84,-0.51,0.07,0.68
Ricker,prespawn,Min,1-May,31-May,0,291.1,8.8,0.01,0.004,-0.58,0.19,0.99,-0.75,-0.2,0.31
