model,spp,life_stage,covariate,code,long_name,short_name,lag_1,lag_2,begin,end,location,gage,flag,flow_scen,group
1,Chinook,prespawn,flow,"""00060""",Max of 7-day mean,max7mean,-1,0,"""11-01""","""03-31""",Willamette at Salem,14191000,1,1,1
2,Chinook,prespawn,flow,"""00060""",Median of 7-day mean,med7mean,-1,0,"""11-01""","""03-31""",Willamette at Salem,14191000,1,2,1
3,Chinook,prespawn,flow,"""00060""",Min of 7-day mean,min7mean,0,0,"""04-01""","""06-30""",Willamette at Salem,14191000,1,3,2
4,Chinook,prespawn,flow,"""00060""",Median of 7-day mean,med7mean,0,0,"""04-01""","""06-30""",Willamette at Salem,14191000,1,4,2
5,Chinook,prespawn,flow,"""00060""",Max of 7-day mean,max7mean,0,0,"""04-01""","""06-30""",Willamette at Salem,14191000,1,5,2
6,Chinook,prespawn,flow,"""00060""",Range of 7-day mean,rng7mean,0,0,"""04-01""","""06-30""",Willamette at Salem,14191000,1,6,2
7,Chinook,prespawn,flow,"""00060""",Min of 7-day mean,min7mean,0,0,"""04-01""","""04-30""",Willamette at Salem,14191000,1,7,2
8,Chinook,prespawn,flow,"""00060""",Min of 7-day mean,min7mean,0,0,"""05-01""","""05-31""",Willamette at Salem,14191000,1,8,2
9,Chinook,prespawn,flow,"""00060""",Max of 7-day mean,max7mean,0,0,"""05-01""","""05-31""",Willamette at Salem,14191000,1,9,2
10,Chinook,prespawn,flow,"""00060""",Min of 7-day mean,min7mean,0,0,"""07-01""","""09-30""",Willamette at Salem,14191000,1,10,2
11,Chinook,prespawn,flow,"""00060""",Median of 7-day mean,med7mean,0,0,"""07-01""","""09-30""",Willamette at Salem,14191000,1,11,2
12,Chinook,incubation,flow,"""00060""",Max of 7-day mean,max7mean,0,1,"""11-01""","""03-31""",Willamette at Salem,14191000,1,12,3
13,Chinook,incubation,flow,"""00060""",Median of 7-day mean,med7mean,0,1,"""11-01""","""03-31""",Willamette at Salem,14191000,1,13,3
14,Chinook,1+ outmigrants,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""04-01""","""06-30""",Willamette at Salem,14191000,1,14,4
15,Chinook,1+ outmigrants,flow,"""00060""",Median of 7-day mean,med7mean,1,1,"""04-01""","""06-30""",Willamette at Salem,14191000,1,15,4
16,Chinook,1+ outmigrants,flow,"""00060""",Max of 7-day mean,max7mean,1,1,"""04-01""","""06-30""",Willamette at Salem,14191000,1,16,4
17,Chinook,1+ outmigrants,flow,"""00060""",Range of 7-day mean,rng7mean,1,1,"""04-01""","""06-30""",Willamette at Salem,14191000,1,17,4
18,Chinook,1+ outmigrants,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""04-01""","""04-30""",Willamette at Salem,14191000,1,18,4
19,Chinook,1+ outmigrants,flow,"""00060""",Max of 7-day mean,max7mean,1,1,"""05-01""","""05-31""",Willamette at Salem,14191000,1,19,4
20,Chinook,1+ outmigrants,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""05-01""","""05-31""",Willamette at Salem,14191000,1,20,4
21,Chinook,rearing,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""07-01""","""09-30""",Willamette at Salem,14191000,1,21,5
22,Chinook,rearing,flow,"""00060""",Median of 7-day mean,med7mean,1,1,"""07-01""","""09-30""",Willamette at Salem,14191000,1,22,5
23,Chinook,rearing,flow,"""00060""",Max of 7-day mean,max7mean,1,1,"""07-01""","""09-30""",Willamette at Salem,14191000,1,23,5
24,Chinook,rearing,flow,"""00060""",Range of 7-day mean,rng7mean,1,1,"""07-01""","""09-30""",Willamette at Salem,14191000,1,24,5
25,Chinook,2+ outmigrants,flow,"""00060""",Max of 7-day mean,max7mean,2,2,"""02-01""","""04-30""",Willamette at Salem,14191000,1,25,6
26,Chinook,2+ outmigrants,flow,"""00060""",Median of 7-day mean,med7mean,2,2,"""02-01""","""04-30""",Willamette at Salem,14191000,1,26,6
27,Chinook,2+ outmigrants,flow,"""00060""",Min of 7-day mean,min7mean,2,2,"""02-01""","""04-30""",Willamette at Salem,14191000,1,27,6
28,Chinook,2+ outmigrants,flow,"""00060""",Range of 7-day mean,rng7mean,2,2,"""02-01""","""04-30""",Willamette at Salem,14191000,1,28,6
29,Chinook,2+ outmigrants,flow,"""00060""",Max of 7-day mean,max7mean,2,2,"""04-01""","""04-30""",Willamette at Salem,14191000,1,29,6
30,Chinook,2+ outmigrants,flow,"""00060""",Median of 7-day mean,med7mean,2,2,"""04-01""","""04-30""",Willamette at Salem,14191000,1,30,6
31,Chinook,2+ outmigrants,flow,"""00060""",Min of 7-day mean,min7mean,2,2,"""04-01""","""04-30""",Willamette at Salem,14191000,1,31,6
32,Chinook,2+ outmigrants,flow,"""00060""",Range of 7-day mean,rng7mean,2,2,"""04-01""","""04-30""",Willamette at Salem,14191000,1,32,6
