"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
1999,117100,53657,15014,21214,36129,21114,19443,22157,36129,7354,8490,81000,36371,9681,19586,30286,20604,18900,30286,17000,6854,7334,10000,3146,20143,12304,8747,11396,20143,17179,14114,6029
2000,81000,36371,9681,19586,30286,20604,18900,17000,30286,6854,7334,26700,11729,6667,14871,20143,13476,14114,18371,14643,5176,5659,6701,1526,54300,25957,15486,38814,54300,29214,17671,36629
2001,26700,11729,6667,14871,20143,13476,14114,14643,18371,5176,5659,81943,35143,8467,15629,54300,45833,17671,16271,15429,6469,6673,7591,1123,67600,36043,14643,52957,39429,35843,34014,5414
2002,81943,35143,8467,15629,54300,45833,17671,15429,16271,6469,6673,74100,29157,7089,16229,39429,32340,34014,21471,14843,6016,6246,7287,1271,63186,19029,13243,49943,19300,16543,15343,3957
2003,74100,29157,7089,16229,39429,32340,34014,14843,21471,6016,6246,75943,31243,8930,15257,19686,10756,15343,18600,14414,6803,7225,11643,4840,35371,9490,6543,28829,22771,21114,16443,6329
2004,75943,31243,8930,15257,19686,10756,15343,14414,18600,6803,7225,54343,12829,9597,17029,27286,17689,16443,27286,15414,7043,7327,9090,2047,87900,21029,14186,73714,25929,22921,18571,7357
2005,54343,12829,9597,17029,27286,17689,16443,15414,27286,7043,7327,125286,26571,9583,17243,25929,16346,18571,19071,15929,6497,6809,8594,2097,44200,23943,11743,32457,19529,18800,18043,1486
2006,125286,26571,9583,17243,25929,16346,18571,15929,19071,6497,6809,83557,40271,7937,15143,19529,11591,18043,15757,14286,5854,6375,7544,1690,49929,22264,16886,33043,24114,21179,17114,7000
2007,83557,40271,7937,15143,19529,11591,18043,14286,15757,5854,6375,73243,34250,16071,24186,43214,27143,17114,43214,24400,6570,7602,13800,7230,32829,23086,10571,22257,26543,22721,18543,8000
2008,73243,34250,16071,24186,43214,27143,17114,24400,43214,6570,7602,95286,22457,8699,19714,39557,30859,18543,39557,17271,6310,7203,9021,2711,55129,19643,13114,42014,48671,25543,20214,28457
2009,95286,22457,8699,19714,39557,30859,18543,17271,39557,6310,7203,61129,21100,13514,24486,71157,57643,20214,29214,18029,6581,8609,11571,4990,49657,35500,13471,36186,49514,42214,31314,18200
2010,61129,21100,13514,24486,71157,57643,20214,18029,29214,6581,8609,84286,37814,16371,28657,49514,33143,31314,29986,22257,7639,9646,13243,5604,98929,40321,19971,78957,93357,44064,33457,59900
2011,84286,37814,16371,28657,49514,33143,31314,22257,29986,7639,9646,122871,29071,15186,26614,93357,78171,33457,41200,19229,7877,8733,12500,4623,31043,18871,15171,15871,29300,19886,16529,12771
2012,122871,29071,15186,26614,93357,78171,33457,19229,41200,7877,8733,89157,24286,10257,15600,29300,19043,16529,19043,14457,7047,7601,17029,9981,105286,41529,17557,87729,38543,25336,17557,20986
2013,89157,24286,10257,15600,29300,19043,16529,14457,19043,7047,7601,105286,23829,11100,19514,38543,27443,17557,34843,15329,7426,7915,9560,2134,55800,14529,10104,45696,14586,13707,10986,3600
2014,105286,23829,11100,19514,38543,27443,17557,15329,34843,7426,7915,94729,28271,6313,9054,14586,8273,10986,9620,8553,5287,5550,6656,1369,56086,29336,17057,39029,20743,18200,17057,3686
