site,year,age_3,age_4,age_5,age_6
mckenzie,1996,3,272,484,7
mckenzie,1997,0,0,0,0
mckenzie,1998,0,0,0,0
mckenzie,1999,0,0,0,0
mckenzie,2000,0,0,0,0
mckenzie,2001,1,53,240,6
mckenzie,2002,1,224,279,3
mckenzie,2003,1,52,211,8
mckenzie,2004,0,94,316,6
mckenzie,2005,2,26,141,6
mckenzie,2006,2,84,107,3
mckenzie,2007,0,67,307,15
mckenzie,2008,9,64,140,10
mckenzie,2009,4,143,85,11
mckenzie,2010,6,63,82,2
mckenzie,2011,2,213,169,7
mckenzie,2012,0,30,157,12
mckenzie,2013,12,121,182,8
mckenzie,2014,18,341,176,4
mckenzie,2015,4,316,118,6
n_santium,1996,3,6,32,1
n_santium,1997,44,61,27,1
n_santium,1998,0,22,15,0
n_santium,1999,0,6,4,0
n_santium,2000,2,61,205,1
n_santium,2001,4,22,35,0
n_santium,2002,6,29,8,2
n_santium,2003,0,9,35,4
n_santium,2004,0,56,18,0
n_santium,2005,2,19,46,1
n_santium,2006,0,31,21,0
n_santium,2007,2,93,74,5
n_santium,2008,10,88,83,1
n_santium,2009,4,28,36,2
n_santium,2010,11,44,24,1
n_santium,2011,3,294,82,2
n_santium,2012,1,17,78,7
n_santium,2013,13,27,14,1
n_santium,2014,9,225,58,1
n_santium,2015,9,79,17,1
s_santium,1996,0,0,0,0
s_santium,1997,0,0,0,0
s_santium,1998,0,0,0,0
s_santium,1999,0,0,0,0
s_santium,2000,0,0,0,0
s_santium,2001,0,0,0,0
s_santium,2002,1,132,58,0
s_santium,2003,1,97,42,1
s_santium,2004,1,44,38,0
s_santium,2005,4,37,54,4
s_santium,2006,0,32,12,1
s_santium,2007,27,64,56,1
s_santium,2008,79,211,36,0
s_santium,2009,3,260,39,4
s_santium,2010,13,56,27,0
s_santium,2011,12,293,39,1
s_santium,2012,4,43,48,3
s_santium,2013,29,239,35,3
s_santium,2014,66,309,198,6
s_santium,2015,46,283,36,0
mf_willamette,1996,0,0,0,0
mf_willamette,1997,0,0,0,0
mf_willamette,1998,0,0,0,0
mf_willamette,1999,0,0,0,0
mf_willamette,2000,0,0,0,0
mf_willamette,2001,0,0,0,0
mf_willamette,2002,0,6,12,0
mf_willamette,2003,0,0,0,0
mf_willamette,2004,0,14,5,0
mf_willamette,2005,0,0,0,0
mf_willamette,2006,5,26,2,0
mf_willamette,2007,0,27,130,1
mf_willamette,2008,7,125,21,2
mf_willamette,2009,1,35,38,1
mf_willamette,2010,0,37,86,2
mf_willamette,2011,0,14,13,1
mf_willamette,2012,0,0,5,0
mf_willamette,2013,3,26,8,0
mf_willamette,2014,3,65,15,0
mf_willamette,2015,7,35,5,0
santiam,1996,0,0,0,0
santiam,1997,0,0,0,0
santiam,1998,0,0,0,0
santiam,1999,0,0,0,0
santiam,2000,0,0,0,0
santiam,2001,0,0,0,0
santiam,2002,0,3,1,0
santiam,2003,0,0,0,0
santiam,2004,0,0,0,0
santiam,2005,0,0,0,0
santiam,2006,0,0,0,0
santiam,2007,0,0,0,0
santiam,2008,0,0,0,0
santiam,2009,0,1,1,0
santiam,2010,0,0,0,0
santiam,2011,0,0,0,0
santiam,2012,0,0,0,0
santiam,2013,0,0,0,0
santiam,2014,0,0,0,0
santiam,2015,0,0,0,0
mollala,1996,0,0,0,0
mollala,1997,0,0,0,0
mollala,1998,0,0,0,0
mollala,1999,0,0,0,0
mollala,2000,0,0,0,0
mollala,2001,0,0,0,0
mollala,2002,0,3,1,0
mollala,2003,0,0,0,0
mollala,2004,0,0,0,0
mollala,2005,0,0,0,0
mollala,2006,0,0,0,0
mollala,2007,0,0,0,0
mollala,2008,0,0,0,0
mollala,2009,0,0,0,0
mollala,2010,0,0,0,0
mollala,2011,0,0,0,0
mollala,2012,0,0,0,0
mollala,2013,0,0,0,0
mollala,2014,0,0,0,0
mollala,2015,0,0,0,0
all,1996,6,278,516,8
all,1997,44,61,27,1
all,1998,0,22,15,0
all,1999,0,6,4,0
all,2000,2,61,205,1
all,2001,5,75,275,6
all,2002,8,397,359,5
all,2003,2,158,288,13
all,2004,1,208,377,6
all,2005,8,82,241,11
all,2006,7,173,142,4
all,2007,29,251,567,22
all,2008,105,488,280,13
all,2009,12,467,199,18
all,2010,30,200,219,5
all,2011,17,814,303,11
all,2012,5,90,288,22
all,2013,57,413,239,12
all,2014,96,940,447,11
all,2015,66,713,176,7
