spp,life_stage,covariate,code,long_name,short_name,lag_1,lag_2,begin,end,location,gage,flag
steelhead,prespawn,flow,"""00060""",Peak water year daily flow,max,-1,0,"""12-01""","""01-31""",Willamette at Salem,14191000,1
steelhead,prespawn,flow,"""00060""","Number of days >90,000 cfs",over90k,-1,0,"""11-01""","""03-31""",Willamette at Salem,14191000,1
steelhead,prespawn,flow,"""00060""",Max of 7-day mean,max7mean,0,0,"""02-01""","""03-31""",N Santiam at Mehama,14183000,1
steelhead,spawning,flow,"""00060""",Min of 7-day mean,min7mean,0,0,"""03-16""","""05-31""",N Santiam at Mehama,14183000,1
steelhead,spawning,flow,"""00060""",Min of 7-day mean,min7mean,0,0,"""03-16""","""05-31""",S Santiam at Waterloo,14187500,0
steelhead,rearing,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""07-01""","""09-30""",Willamette at Salem,14191000,1
steelhead,rearing,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""07-01""","""09-30""",N Santiam at Mehama,14183000,0
steelhead,rearing,flow,"""00060""",Min of 7-day mean,min7mean,1,1,"""07-01""","""09-30""",S Santiam at Waterloo,14187500,0
steelhead,rearing,flow,"""00060""",Min of 7-day mean,min7mean,2,2,"""07-01""","""09-30""",Willamette at Salem,14191000,1
steelhead,rearing,flow,"""00060""",Min of 7-day mean,min7mean,2,2,"""07-01""","""09-30""",N Santiam at Mehama,14183000,0
steelhead,rearing,flow,"""00060""",Min of 7-day mean,min7mean,2,2,"""07-01""","""09-30""",S Santiam at Waterloo,14187500,0
steelhead,rearing,temp,"""00010""",Max of 7-day mean,max7mean,1,1,"""04-01""","""05-31""",Willamette at Portland,14211720,1
steelhead,outmigrants,temp,"""00010""",Max of 7-day mean,max7mean,2,2,"""04-01""","""05-31""",Willamette at Portland,14211720,1
steelhead,outmigrants,temp,"""00010""",Cumulative degrees > 15 C mean 7 day max temp ,DD15,2,2,"""04-01""","""05-31""",Willamette at Portland,14211720,1
steelhead,outmigrants,flow,"""00060""",Max of 7-day mean,max7mean,2,2,"""04-01""","""05-31""",Willamette at Salem,14191000,1
